,Nom
1158,aubort
1159,aubry
1160,auchise
1161,auchli
1162,auchlin
1163,auchter
1164,auckenthaler
1165,audemard
1166,audemars
1167,audenis
1168,audéoud
1169,auderer
1170,audergon
1171,auderset
1172,audétat
1173,audetat
1174,audi
1175,audino
1176,auditor
1177,audra
1178,audrain
1179,audria
1180,audriaz
1181,audykowski
1182,aue
1183,auer
1184,auerbach
1185,auerbacher
1186,auerhammer
1187,auerswald
1188,auf der maur
1189,aufdenblatten
1190,aufdereggen
1191,aufdermauer
1192,aufdermaur
1193,aufenast
1194,aufranc
1195,aufrichtig
1196,aufschläger
1197,aufseher
1198,augay
1199,augenstein
1200,auger
1201,augier
1202,augsburger
1203,augstburger
1204,auguadri
1205,auguet
1206,augustin
1207,augustoni
1208,aujourd'hui
1209,aujourdhui
1210,aulas
1211,aulbach
1212,aulet
1213,aulich
1214,aumann
1215,aumayer
1216,aumayr
1217,aumeier
1218,aumiller
1219,aupperle
1220,auras
1221,aurednik
1222,aurich
1223,aurnhamer
1224,auroi
1225,aurora
1226,aus der au
1227,ausderau
1228,ausfeld
1229,ausoni
1230,ausset
1231,austern
1232,autenheimer
1233,autenried
1234,autenrieht
1235,autenriet
1236,autenrieth
1237,auth
1238,authier
1239,autier
1240,autino
1241,autor
1242,autsch
1243,auvergne
1244,auwetter
1245,aval
1246,avanthay
1247,avanzi
1248,avanzini
1249,aveboni
1250,avennier
1251,avens
1252,aver
1253,aversa
1254,aversano
1255,avesani
1256,avezou
1257,avi
1258,avichay
1259,avigni
1260,aviolat
1261,avogaro
1262,avondet
1263,avondo
1264,avosti
1265,avril
1266,avrutschenko
1267,avvanzino
1268,avvenenti
1269,axelrod
1270,axt
1271,axtmann
1272,ayen
1273,ayer
1274,aymard
1275,aymon
1276,aymond
1277,aymonier
1278,aymonod
1279,azari
1280,azevedo
1281,azone
1282,azy
1283,azzali
1284,azzeletti
1285,azzi
1286,azzola
1287,azzolini
1288,azzoni
1289,von aarburg
1290,von adelsheim-von ernst
1291,von aesch
1292,von ah
1293,von albertis
1294,von allmen
1295,von alten
1296,von alvensleben
1297,von anacker
1298,von angern
1299,von arb
1300,von arx
1301,von atzigen
1302,von auw
1303,baader
1304,baal
1305,baali
1306,baasch
1307,baatard
1308,babaeff
1309,babaïantz
1310,babbaz
1311,babberger
1312,babecki
1313,babel
1314,babelay
1315,babey
1316,babic
1317,babini
1318,babos
1319,babst
1320,bacalian
1321,bacca
1322,baccaglio
1323,baccalà
1324,baccalin
1325,baccanelli
1326,baccara
1327,baccaro
1328,bacchetta
1329,bacchetti
1330,bacchi
1331,bacchiega
1332,bacchini
1333,bacciarini
1334,baccini
1335,baccolini
1336,bach
1337,bacharach
1338,bachelard
1339,bachelin
1340,bachellier
1341,bachelut
1342,bachem
1343,bachenheimer
1344,bacher
1345,bacherer
1346,bachert
1347,bachet
1348,bachetta
1349,bachi
1350,bachin
1351,bachmann
1352,bachmayer
1353,bachmeier
1354,bachner
1355,bachofen
1356,bachofer
1357,bachofner
1358,bachrach
1359,bachschmid
1360,bachschmidt
1361,bachten
1362,bachthaler
1363,bachtler
1364,bachzas
1365,bacile
1366,bacilieri
1367,baciocchi
1368,back
1369,backer
1370,backes
1371,backhaus
1372,backof
1373,bacle
1374,bacon
1375,baconat
1376,baconnier
1377,bacuzzi
1378,baczek
1379,badan
1380,badano
1381,badaracco
1382,badasci
1383,badat
1384,bade
1385,badel
1386,bader
1387,badertscher
1388,badet
1389,badi
1390,badiali
1391,badilatti
1392,badini
1393,bado
1394,badollet
1395,badone
1396,badosa
1397,badoud
1398,badoux
1399,badraun
1400,badrutt
1401,badstuber
1402,baebi
1403,baechler
1404,baeder
1405,baehl
1406,baehler
1407,baehni
1408,baehr
1409,baer
1410,baerel
1411,baeriswyl
1412,baertl
1413,baertschi
1414,baertschiger
1415,baese
1416,baeten
1417,baettig
1418,baezner
1419,bagaini
1420,bagardi
1421,bagarotti
1422,bagattini
1423,bagdasarianz
1424,bagdassarian
1425,bagg
1426,baggenstos
1427,baggenstoss
1428,baggetti
1429,baggi
1430,baggiani
1431,baggin
1432,baggio
1433,baggiolini
1434,bagi
1435,bagioli
1436,bagnaschi
1437,bagnoli
1438,bagnoud
1439,bagnovini
1440,bagozzi
1441,bagrowski
1442,baguet
1443,baguley
1444,bagutti
1445,bahnik
1446,bahnmüller
1447,bahns
1448,baholzer
1449,bahon
1450,bahr
1451,bahy
1452,bai
1453,baiardi
1454,baiche
1455,baier
1456,baierl
1457,baierlé
1458,baiker
1459,baikhardt
1460,baila
1461,bailat
1462,bailer
1463,baillard
1464,bailleux
1465,baillif
1466,baillifard
1467,baillod
1468,baillods
1469,baillot
1470,bailly
1471,bailo
1472,baima
1473,bain
1474,baioni
1475,baiotto
1476,baira
1477,bairam
1478,bais
1479,baisch
1480,baïsette
1481,baisotti
1482,baitella
1483,baitenmann
1484,baiter
1485,baitinger
1486,baitotti
1487,bajetta
1488,bajettini
1489,bajocchi
1490,bajona
1491,bajulaz
1492,bakaus
1493,baker
1494,bal-blanc
1495,balabio
1496,balaguer
1497,balanche
1498,balardi
1499,balasso
1500,balastèr
1501,balatti
1502,balavoine
1503,balbach
1504,balbi
